Track,Artist,track_uri
"Summer Cookout (feat. Ahmir ""QuestLove"" Thompson, Roy Hargrove & JK)",Dontae Winslow,7xdUoH7XnkYoxWRX9hYkZM
oui,Jeremih,0PJIbOdMs3bd5AT8liULMQ
May This Be Love,Jimi Hendrix,1Y6Dv0tWYUP3Za2Es9FUL2
Crown Royal,Jill Scott,2mX2iJ6rw3ja90OPzHrmHT
Keep On Walking,Roy Ayers Ubiquity,2a6EavkkLME2JN9iM56XMf
P.S. I Love You,Curtis Mayfield,2xWUH3uqnZ47dpiLLQqkZ3
Sweet Stuff,Sylvia,6fDKbHUxyXLp8QkalF7IG5
Let's Do it Again,The Staple Singers,1YQIOrrOg1UDqZCGcZWQ0a
Get You (feat. Kali Uchis),Daniel Caesar,7zFXmv6vqI4qOt4yGf3jYZ
Eye,Madvillain,6U7vfLpo3senEnWCwM9W7z
