Track,Artist,track_uri
Blue Faces,Mike Sherm,4Mrf7VALftu8MUqUWCJ7KO
100 Round Dick,Lil June,6cjF7i4KeV05PUhmzByLx8
Bounce Out,Lil June,4T2zZcRy8FKaUmki9n9XN4
(Intro) Im So Good,Lil June,6V1pm4THwzkri00ndVlkeI
Be Cool,Cookie Money,4eFRie9za9xTPLe8iiu3mi
Turnt Up,Cookie Money,4ddqtK6k9GDkOmPQOmQqMU
Tunnel Vision,Kodak Black,4Q3N4Ct4zCuIHuZ65E3BD4
Started From the Bottom,Drake,6V2D8Lls36APk0THDjBDfE
Only,Nicki Minaj,1UZ25gykR30Oewh3dBRtVZ
Water,Ugly God,7EoSDrwBPUBeBEORrpvgko
Ice Cream Man,Tyga,6ZA3Q8Dj5BrnmOsT300DCh
Right On Time,Gucci Mane,0g3tRu1WeonnVmLHm2UzZM
When I Grow Up,The Pussycat Dolls,0dQQWHlXvuw4UyHcAvhfhB
"Go Off (with Lil Uzi Vert, Quavo & Travis Scott)",Lil Uzi Vert,53MHr9cjIlwet0mpmqNvjC
This D,TeeFLii,0et1MT9eXSKndjEYDj08Bt
F**kin' Problems,A$AP Rocky,4X5f3vT8MRuXF68pfjNte5
Stay Mobbin,Dj Asap,4x6I5GjuW8DkmRiNS4hUiK
Long Run,Salsalino,4mFjM5NwYYzWZCf9MS783f
Swang,Rae Sremmurd,6mapJIPnQ23RTAevUoE0DL
From The D To The A (feat. Lil Yachty),Tee Grizzley,2NyrXRn4tancYPW6JwtTl2
Get Right Witcha,Migos,76Y0gxtTxN0FyDCYh5qYQj
Brown Paper Bag,Migos,5wihevBA7MO9PNYyWyTfkh
Look At Me!,XXXTENTACION,7floNISpH8VF4z4459Qo18
Thick (feat. 2 Chainz),O.T. Genasis,6p2BLkl2KM6jlpN85Sks93
Ballerina,Belly,7qGRddrzvhUiCkv7Nj5x3I
