Track,Artist,track_uri
What a Pleasure,Beach Fossils,5nnuMMrPgKJRxUqbU86fvv
Sound & Color,Alabama Shakes,4gV209d7WZmbrIZ5jgu30A
I Wanna Go,Summer Heart,3EA4HwrlLdDJ3b4cX7JfqC
Trip,Vacationer,3c2iJnktGttp0MqYq2OhWl
A Dragonfly In the City (Teen Daze Remix),Sun Glitters,3ARbDUq6TYWYUqyrBnKfFy
Shoreline,Summer Heart,6nmgtcySEVJ4PY0fxkJHdZ
Peasants,Houses,65XaLSKpCTxHRm5gzC6DlJ
Cold Nites,How To Dress Well,3h5lOZXSV9lpQW8mtAyFvH
Discipleship,Teen Daze,1ApPtoS6E03OMYIEAFQ3Xk
Tiff,POLIÇA feat. Justin Vernon,1HdppGhVlKJPUkKSdsoiqW
Los Angeles Lies,Summer Heart,78Z8GmmM2yEI6iaCptJj7v
Wind At My Back,Brothertiger,5LnaYzyhPuuDzL28AH69Wz
Oh Sailor,Mr Little Jeans,0U2kP3QG3FVV9gxPfxvF1p
Neon Dove,Gardens & Villa,14BCdhS17Ntc3lyWEXoxdm
Thinkin of U,Summer Heart,5JX8GMsbPOjtZgj9SxW6HQ
Sunspray,Blackbird Blackbird,0ENDXwLDCNAz1u2GV3A462
Hawaii (Niva Remix),Niva,3R45AZAP6iV0XqOXMCH9rn
Beat of Your Heart,Summer Heart,473tIgKafyYNnrbqmozwKI
When Worlds Collide,Summer Heart,3fXto1JFnrHNFRK8L8SF5P
Blind,Blackbird Blackbird,6oPF1VAhoFsQ2qQW9tJUZ5
Real Hero (College/Electric Youth cover),Germany Germany,41sxBP7lc75Ev4XoY07PMx
Hanging On,Active Child,7Dmbp0DnxbFCS3IYwbvMXf
Autumnal,Teen Daze,2KIx2bD6uvUYDZ2XrAKZXN
Back Home,Caribou,2Ihe13COgmXBAiJ3JaVHoR
Now Time,Balam Acab,7ovnfW7KKtHRa8nFsdBdGx
Brooklyn Sunburn,Teen Daze,6KDUDy3djzCTyxGUK6XTfg
Last One Awake,Memory Cassette,7wxFbCytnSZTFYaNcnMJAi
Watch over Me,Teen Daze,20P2imgJmNZL5XdE88JTD8
For Body and Kenzie,Teen Daze,7L0GBRPnBZ7be8YdJeAYmo
She Cut Me,Active Child,4ZetWMvfZFAuppWsMg8w1I
Cuckoo,Still Corners,6htMWJqQm2UN1MgphJjT4q
Late,Teen Daze,3xbiEcM0FTugYiuFsiM18y
New Life,Teen Daze,2F4tRViuRHFWvKUvbF9kO3
Divided Loyalties,Teen Daze,0I5Fzf9noAthvWBV8oMrXr
Spirit,Teen Daze,58uC6GOpdWxon15ndJf38T
The Harvest,Teen Daze,1Gjaa9Y8tvJNjNVKRFWIrf
Treten,Teen Daze,1mgFupmpF49vceLnE4yZWH
Alaska,Teen Daze,4eE4T8obNO6dLUGia0y8xa
The Future,Teen Daze,0lErbVSJJRe4VqMZkej87f
To The Lighthouse,Memoryhouse,2oLFO28ilaSiNwIWhUDl26
Happy With You,Blackbird Blackbird,6ZsxTsS93J9ly9fvhA9gu8
Opium,The New Division,1SFDYObi6lB3MpiIkWTXla
Through The Grass,Wild Nothing,3HbltRiQVLgUtGzUDoNAQG
Run My Heart,Twin Shadow,5owLqFBu8voAX4Tjmt6YOM
West Coast Slide,Work Drugs,7oSE21EViB7eAH6ZDEPDCS
Despicable Dogs (Washed Out Remix),Washed Out,0XiSrhb7YZUq3Od7mGaJQC
Fall 4 U (feat. Glasser),Chad Valley,5cHjW1AVY4sUaxrRxDDP3q
Kids,The New Division,6nnJHOvrP4dsRjUD5x8Htv
Great Escape,Washed Out,4mib7pYUaVjOjpaejPFcMU
Horse Steppin’,Sun Araw,2rYZETHlA6JTDbbkAWj9jD
Memento,The New Division,3goyMnprWi0j6902uHQ4vD
Devotion,The New Division,2IBZqk2sNNcmODHV0w98Ls
It's A War,Blackbird Blackbird,1ajMtpXxmsezJwEUJ25cGs
Lessons,Beach Fossils,356mJSHnVNcTcv4d5O6DLM
Banana Ripple,Junior Boys,1nioGNXYTNHFTdySqyXodn
Now That I'm Real (How Does It Feel?),Chad Valley,06liMnp96JhyhaF3Ic64Yl
Vanilla Minus,Gold Panda,22nhLwXYqNSPscLZ4hg0SA
Hesitation,Beat Connection,19kJdaUHSb0CGSdtasRuoK
Out in the Way (feat. Wild Nothing),Beach Fossils,46Q055p0kvvoeIcM9iXzVP
June 2nd,Great Dane,0aHL6eMEMJaOPFKMsQui59
Over It,Junior Boys,4fA1gxXE4Z8w8jNlKurzWq
M & P,Junior Boys,5DsoTVFFHlmn6qR6RvFSGW
Parallel Lines,Junior Boys,2Z8pdn7iDjaCwND5R3KQuX
Reckless,Mr Flash,3lrF3qlJI5amBwMEbscddz
Not In Love,Crystal Castles,46Xnj8vZFwOZCE4aZNXlTf
Lights & Music,Cut Copy,2dngx6srtqsxvyh7oGV8FM
The Look,Metronomy,3kEQyPfmFknzr0pRBWxWxu
Odessa,Caribou,2WTDr7X7pqN9IilUxm00JI
Kill For Love,Chromatics,15FNwavTRr5gfBMWgMX9P7
Love Is the Future,Hot Chip,48JzLh50Tfo3GXRGXjqhp0
Pizza Guy,Touch Sensitive,4UVIFaLeqgi4aAUWeStoMu
I Look to You (feat. Kimbra),Miami Horror,3gbHGPcyp2j8MgfmcLt8KP
Even When The Water's Cold,!!!,2UjEyfnKzaY7qpBEeESJjv
Itchy Fingers,Junior Boys,4l37Yl4YqvL9QiZJShyGgE
Pap Smear,Crystal Castles,2L9iSllvdfTZH4H7UQ7bJR
Over It - Ikonika Remix,Junior Boys,7hzMTFouA33ovAsA2bG5wJ
Sunshine,Little Dragon,0v0ObuYk6XIghHURqaaZU0
California Sunrise,Dirty Gold,05FTszdgQA6GWxAcVIV81a
Bury Us Alive,STRFKR,229SqGbacrLSBfb9XfJczF
Sea Hare,Dirty Gold,53F5xW12NA0HJWM1CrEN6s
Asleep At A Party,Memory Cassette,36NjXNdQKMfPSsUpAdIrpg
Surfin,Memory Cassette,7mlFQic5SNtPfh1HBFHroW
All the Time,Boat Club,2tppDdP1kfQCXYVCZnnVSM
Warmer Climes,Boat Club,1NNd3LA8l8XiLap8GkXbP1
Nowhere,Boat Club,2DvxJHq4JXNYJ27z5fXzIs
Swimming Field,Memory Tapes,5g1Izt4F2GxmVDZFPJSS4d
Here In Iowa,Korallreven,5cOCOGjPOE5nxz28zjpNOY
The Truest Faith,Korallreven,3gz6jCRwP9jauKeAJoNtVa
Threats,Korallreven,7oBQbXTNrza3E8hNx9Gx3o
Limitless,Korallreven,3beZVXI4pw5HJjharuhmXG
Fast Challenges,Chad Valley,6QBcQLg558ZCIkRJv4qNNr
Strangers,Lotus Plaza,0Bw1mOzGbjgvn2Wgrd7EFE
Jet Out of the Tundra,Lotus Plaza,0ju7s4EQWiB28KddxnzbKO
Nightlight,Little Dragon,3m6uS22rIOnHhYvkXoYmfn
Live In Dreams,Wild Nothing,1HHfrX27MBCE8eJ06jBAko
Fall Right In,Beach Fossils,2F63erfPWawQ2l29agdLFa
Beach Comber,Real Estate,3tPh7vkXySn2lUEH1NEPyO
Youth,Beach Fossils,4pNaaHNfuI3hSDthqatgbi
Breathless,Small Black,7MPSPxCd6aiGZwN0ro0ZSH
Easy,Real Estate,2sJP8a1vd7Yyh3o0IHYpll
Seasons (Waiting On You),Future Islands,41X9To0bQ4fpoSRri4NHiI
Canoe,Small Black,1Q8wAqHui2TC6Udg4wY33K
Outskirts,Small Black,0rClzMCFUTjFXy3I46j6o3
Walk On the Wild Side,Lou Reed,5p3JunprHCxClJjOmcLV8G
Clair de Lune,Flight Facilities,4H4KkHfXJs3cQEnbNW3bVS
Palo Santo,Teen Daze,0LEuxWOvba5CHTeTYqd4B3
It's Real,Real Estate,1K9YlxsaqEDqTaGHOdPVRJ
Wonder Years,Real Estate,3jY3ocFiQiWRmRUrpGsqF0
From the Morning Heat,Craft Spells,1MVsfoLLeYqQbJKFziYHAN
Chinatown,Wild Nothing,78zHfBrELUKtJwDjWzKBso
Half Mast,Empire of the Sun,6Rt5HuBClB7sHKirZMZ099
Lets Go Surfing,The Drums,6q0qgZI8jHyyFbsZDXtG39
What You Were,The Drums,0sSwLhvVLZtAEhSeb6G75t
Money,The Drums,4iWuv4YvZZJZpx1D7QNLDy
It All Feels Right,Washed Out,3sc34Y2D580EC86tnBA1PQ
You'll See It,Washed Out,0svXUDVEB101qrjV057rbS
Don't Give Up,Washed Out,1c8vqruSeRLjmI82IK1lFo
Places,Shlohmo,629Cjw0fUyZUMkBjnjttDR
Spanish Castles,Boat Club,0npyLu0pXVJ0Ls9QrNGFwt
Memories,Boat Club,58xLQEi0dGYxMLp3KECIlY
Warmer climes,Boat Club,0HTai5c5eQ8HNvOITDzNmt
No Way Down,Air France,04gPjQ5mGXVzMyVAcJRBSV
"Palace Garden, 4 Am",Beat Connection,40S6PBv7GHvM4pUvstGX5k
XX Century,Small Black,5qtKNUd3nVhemoM3OgagVm
Adore,Wild Nothing,0v3CNTfuSIlG74otVJV7Zs
Half Asleep,School Of Seven Bells,69MMuGKrB2w9CEVbXlyszh
Green Aisles,Real Estate,1H4mV1lgrNBUjZgRjjP1nu
Portuguese Solid Summer,Chad Valley,00tlvWQWvhQsn6ozrES7P8
Camouflage,Small Black,7LXgz4Wbd44fy96usY8Ko3
Past Lives,Real Estate,4a5XE0MLRfMo7JmZFTxvR3
Had To Hear,Real Estate,4IAE7M8Qw88f59W0uqNujJ
Sophie,Small Black,4HDWH9OkkXx2SfJ5FPcYhl
Red Eyes,The War On Drugs,0JxI0r0gooV71qlPfHqJry
Summer Holiday,Wild Nothing,1eANz6taKJa7Huu3ic9F7e
Varsity,Smith Westerns,5rOX9KumiLWXrABsQhEUpz
Golden Haze,Wild Nothing,27563YEsBrtBctS2OKOOzp
Disappearing,The War On Drugs,3j5VGHKcSzBVKESMSNfeW9
The Fog Rose High,Craft Spells,3NwaVr6RJg2LPBcJ1Ysl1O
Wide Awake,Beach Fossils,5SdWeFA5OxNx4IbDmdL74i
Out Of Tune,Real Estate,21XV3i7ntOFqI9RWTjyuMo
Drifter,Wild Nothing,40AuhXKBIouQ7KiMMxTWfH
Primitive,Real Estate,7IIV0Mt1RCpPXPFHxVH67i
Glossed,Smith Westerns,3sjoKR95OXVOWdaW3WZnBD
Kinder Blumen,Real Estate,36CmATswL4ELZOsfLjWp4u
Self Service,Studio,1MMYHJrSM5eeRZGcRXsnaM
It Pays To Belong,The Embassy,4G9f3X1SaUbavvA2bDiUvm
Change Of Coast,Neon Indian,4Zehi1XQ5vKkIxMoqZ1L38
Lazuli,Beach House,5XltwtaenRRvD9dNj76t5l
Sweetest Kill,Broken Social Scene,412h3blgWJwtbU2TRYkbTx
Swim and Sleep (Like a Shark),Unknown Mortal Orchestra,3h1iu4HvBlLqRuft2kJEcr
On The Sea,Beach House,55PJVjexxSAes2zpJFfMy4
The Trip,Still Corners,2EQBrX6CujOnVLiFCRXXc0
Raspberry Cane,Youth Lagoon,2IRdxFcbEfST1uPPnWYpz1
Okay,Holy Ghost!,4aS1tBEAx1OWlqypI32r1G
Cannons,Youth Lagoon,7BoWuTVwBzhc0xeNNH3LWC
Somewhere In Between,August Wilhelmsson,7DGFxOJp8gfV3Y1JqOJ1A4
This Year,Beach Fossils,1TFjgmDNqtfw2R0ruYZkUI
Rebirth,Yuck,5Hnd7IBUwO13IL0Xf47Nqa
Real People (feat. Frankie Rose),Small Black,7iBPO5ETCqLG6iJux8Aiz5
Pretty Haze,Summer Heart,5toeKuhtN3PDvumgt1HN2u
There Is A Light That Never Goes Out - 2011 Remastered Version,The Smiths,0WQiDwKJclirSYG9v5tayI
Boys Don't Cry,The Cure,1QFh8OH1e78dGd3VyJZCAC
Just Like Heaven,The Cure,4NnWuGQujzWUEg0uZokO5M
Dear To Me,Electric Guest,5n2kAftaxSkdW4443xGxy4
Oh Devil,Electric Guest,1DnJlbiELCQcZJwywwBOKC
Gone for the Summer,Teen Daze,5k1TdbkPsKAjF3Kv1TTg7Z
No Regrets,Teen Daze,3Zlw04HvMRezdngl5DknBM
Saviour,Teen Daze,71Hxm2WlLnGOgIRDz35BQP
Driving Home From The Beach - The Feeling Of,Teen Daze,00aMR5xnllY7cLGznpahqZ
"Gone For The Summer, Pt. 2",Teen Daze,5FfwW6YYjAy4waMoqeRVn8
June 2010,Teen Daze,0VzVkQJOH93HwH1lc5M3TO
Hard To Say Goodbye,Washed Out,6zhh4XJm5xZakYqJe5gQgQ
Get Lost,Washed Out,4yPY2X0FyUqU3RwHzPr9Fh
Here Since,HOWLE,2A2IeARpsUCTKb2Olz8e75
Burn Out Blues,Washed Out,7bqCC3KbicQXJqxDs4ZSWC
Time Off,Washed Out,1n1Ct4UaylhibgvuPbcdex
I’ve Been Daydreaming My Entire Life,Washed Out,4WQs5UIokNcsxWumMEfDt3
Million Miles Away,Washed Out,5hgTdh5RS4tMWywi1xocW6
Affection,Crystal Castles,5L8lIUj7bFacPdgYD3iUoJ
