Track,Artist,track_uri
Lean on Me,Bill Withers,3M8FzayQWtkvOhqMn2V4T2
"Hey, Soul Sister",Train,6mghCOaaSvrke0z1EUVUIf
Secrets,OneRepublic,4zweVv3Wa6XgexhoUOzkYs
"Flashlight - From ""Pitch Perfect 2"" Soundtrack",Jessie J,6qC8Jj1XOxknPm8N7EbzKX
Battle Scars,Lupe Fiasco,1hWYT0w2R0J19rlVkiez7X
Only Hope,Mandy Moore,6dOzblcXKWBpZt6uGwC8z8
Stronger (What Doesn't Kill You),Kelly Clarkson,2GcSQZ1TmuRvqp3r4fWOZO
Give Your Heart A Break,Demi Lovato,3sP3c86WFjOzHHnbhhZcLA
Give Me Love,Ed Sheeran,0SuG9kyzGRpDqrCWtgD6Lq
Hey There Delilah,Plain White T's,4RCWB3V8V0dignt99LZ8vH
Photograph,Ed Sheeran,6fxVffaTuwjgEk5h9QyRjy
How to Save a Life,The Fray,5fVZC9GiM4e8vu99W0Xf6J
The A Team,Ed Sheeran,1VdZ0vKfR5jneCmWIUAMxK
The Scientist,Coldplay,75JFxkI2RXiU7L9VXzMkle
Locked Away,R. City,7x5xYW5W42OGPAdHUyyguy
Budapest,George Ezra,7GJClzimvMSghjcrKxuf1M
Teenage Dirtbag,Frank Hamilton,0IkSMRdLsG6ZhgZwfcUXKK
Tenerife Sea,Ed Sheeran,6vSwxzO2Qf4BinHSXRwZJe
Something I Need,OneRepublic,14DYFbc6F1vPyoikkqPiAh
Breakeven (Falling to Pieces),Boyce Avenue,7l3GzL9RDP1V00mGmren3S
human,Christina Perri,1x80xTzSL7pok3M5JC3oJz
Paradise,Coldplay,7wBrglFVTNCcW6IhdgBkm1
Fix You,Coldplay,7LVHVU3tWfcxj5aiPFEW4Q
I Lived,OneRepublic,7pzdiluN2tVrxsFGyM2Asc
Drive,Halsey,3ek4HgBlmvkTWgfT5sTSe9
Hello,Adele,4sPmO7WMQUAf45kwMOtONw
Skyfall - Full Length,Adele,6VObnIkLVruX4UVyxWhlqm
Rumour Has It,Adele,76N7FdzCI9OsiUnzJVLY2m
Take It All,Adele,6jL1DEdjmOa27inIgU088B
Missing You,All Time Low,0c2yZp1tTYAUiKraMdS8Yg
One Call Away,Charlie Puth,6vSforRhuzsA0D0SO9fG1S
Like I'm Gonna Lose You,Meghan Trainor,2YlZnw2ikdb837oKMKjBkW
Let It Go,James Bay,13HVjjWUZFaWilh2QUJKsP
Growing Up (feat. Ed Sheeran),Macklemore & Ryan Lewis,4fgkGLPCFDVFMQfuGIaPpA
Chandelier,Sia,4VrWlk8IQxevMvERoX08iC
Stand By You,Rachel Platten,3kSXn1osC89W8JcPLozTzs
First,Cold War Kids,3omXshBamrREltcf24gYDC
Don't Let Me Down,The Chainsmokers,0QsvXIfqM0zZoerQfsI9lm
Close,Nick Jonas,3lSDIJ2abCrOdDJ6pshUap
7 Years,Lukas Graham,7129iqBafaphfc3WPCGC0L
Never Be Like You,Flume,12REd1n8PeiHHWOh066tpr
This Town,Niall Horan,3UwT4FadEGWyMdaSwYcUBY
Spirits,The Strumbellas,2H6dHxAxGq5oQ9EiinNpXT
We Don't Know,The Strumbellas,1W7Pqllthmsm4JropRBVFp
Riptide,Vance Joy,7yq4Qj7cqayVTp3FF9CWbm
Ophelia,The Lumineers,6ZYS6QQxTLsQ6IFXdVx1r4
So Far Away,Mary Lambert,1stjQMCOcvqHNli4efzp2P
Beautiful Soul,Jesse McCartney,1HwpWwa6bnqqRhK8agG4RS
I'm Yours,Jason Mraz,3S0OXQeoh0w6AY8WQVckRW
Beautiful Girls,Sean Kingston,1hGy2eLcmC8eKx7qr1tOqx
Stand by Me,Prince Royce,0DQd0tWurMHUAv0cMnDELH
Colors Of The Wind,Judy Kuhn,1OYOLWqKmhkFIx2KC9ek1a
Unsteady,X Ambassadors,7lGKEWMXVWWTt3X71Bv44I
All The Right Moves,OneRepublic,1b8xyP5ojtnT430YGDWHIA
The Climb,Miley Cyrus,5x5JM1BSB6vollcIzDocqT
Scars To Your Beautiful,Alessia Cara,0prNGof3XqfTvNDxHonvdK
I Won't Say (I'm in Love),Lillias White,1HSJMLtNeDryJN76Tu5Ahf
A Whole New World (Aladdin's Theme),Peabo Bryson,4biuE0gvdD3GpAryIdgVx8
Treat You Better,Shawn Mendes,4Hf7WnR761jpxPr5D46Bcd
Be Alright,Wesley Finn Tucker,1U4fp2Fz98NNfXldijCZio
Hallelujah,Wes Tucker,6Co0hgRkm4cmcIoA2FG3QL
In My Dreams,Ruth B.,1XcXLeFN4JNpUTeGnUPCWj
Little Do You Know,Alex & Sierra,1almCHdsfikRPfVB9VrEdT
Just Hold On,Steve Aoki,3EmmCZoqpWOTY1g2GBwJoR
Love Me Now,John Legend,6nxQdXa1uAL0rY72wPZu89
Catch Fire,5 Seconds of Summer,1VD2nlzQDj4YFPjhuOrjK2
Broken Home,5 Seconds of Summer,5TMjhlh25Oitlh3LBKdfMi
King And Lionheart,Of Monsters and Men,5HF5PRNJ8KGtbzNPPc93tG
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3NdDpSvN911VPGivFlV5d0
Roses,The Chainsmokers,6O6M7pJLABmfBRoGZMu76Y
Fire Escape,Andrew McMahon in the Wilderness,6uCmU6ldcsVpLAKNCojVg8
River,Bishop Briggs,0TGTE9TEh9qzuFwmtRNICn
"i hate u, i love u (feat. olivia o'brien)",gnash,7vRriwrloYVaoAe3a9wJHe
Irreplaceable,Beyoncé,07lxDm1s8FVO4GF54Nooiz
Sweet Dreams,Beyoncé,2wNGoon7FlKnVEyYS1ZRBQ
Love On The Brain,Rihanna,2aksifNn5ph8igDOkPBA02
Miss Independent,Ne-Yo,34ceTg8ChN5HjrqiIYCn9Q
Over And Over Again,Nathan Sykes,26h6qDR3KtieqIWgnveqmC
Somebody Else,The 1975,5hc71nKsUgtwQ3z52KEKQk
Sweater Weather,The Neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6
Castle,Halsey,16w8ZGVSjI4TlTLV8VimBY
Green Light,Lorde,0gbBzIqrECJOEPvQJIBFs5
Liability,Lorde,0or0gNaKAXYYCsOrpvRzAu
Through the Dark,One Direction,1a0PcmEJAOEp4ZT3YtSLkM
Sign of the Times,Harry Styles,5Ohxk2dO5COHF1krpoPigN
Way Down We Go,Kaleo,0y1QJc3SJVPKJ1OvFmFqe6
Million Reasons,Lady Gaga,50PWlIBU7PlGGwzgN8TiFJ
Green Light,Lorde,0gbBzIqrECJOEPvQJIBFs5
No One,Alicia Keys,0JEqGkvUiMTQmFY6sgL9kg
Bleeding Love,Leona Lewis,7wZUrN8oemZfsEd1CGkbXE
Mirrors,Justin Timberlake,4rHZZAmHpZrA3iH5zx8frV
Use Somebody,Kings of Leon,5VGlqQANWDKJFl0MBG3sg2
I Won't Give Up,Jason Mraz,53QF56cjZA9RTuuMZDrSA6
No One,Alicia Keys,0JEqGkvUiMTQmFY6sgL9kg
Just A Little Bit Of Your Heart,Ariana Grande,5DsnMBbnSmEmqOQMFTwXRq
Rival,Romeo Santos,0JYdkP4Kz0ixmSfTTPvECC
High Hopes,Kodaline,5lWXM47w1Npqwv0OMMHP5l
Te Extraño - Bachata Version,Xtreme,0muI8DpTEpLqqibPm3sKYf
You're Gonna Live Forever in Me,John Mayer,51lPx6ZCSalL2kvSrDUyJc
Can I Have This Dance,High School Musical Cast,6YXG34IWbilypPwjBTOrUC
Perfect,Ed Sheeran,0tgVpDi06FyKpA1z0VMD4v
Rise Up,Andra Day,0tV8pOpiNsKqUys0ilUcXz
Safe and Sound,Christian Akridge,3zvzTpFMeZ1j5FkNcQdeaF
You And Me,Lifehouse,7L605WhF5EGf34ggj87yK6
FourFiveSeconds,Rihanna,5XzmZjXhMjDHr7ZfJ6DELQ
Chasing Cars,Snow Patrol,11bD1JtSjlIgKgZG2134DZ
Soy el Mismo,Prince Royce,56z1fafH2YkIUk0XqzM3Ll
Dancing On My Own,Calum Scott,02WacdrRpm4zlP8H7X6bnQ
Stole the Show,Kygo,5masKPHeAOVNgxdLebIcK7
Alive,Sia,4E3afPSY5fUEelQS9ppL0e
You & I (Nobody in the World),John Legend,4m5lJ0ZOUqyx2DUCRycGFm
Photograph,Ed Sheeran,6fxVffaTuwjgEk5h9QyRjy
Too Good At Goodbyes,Sam Smith,1mXVgsBdtIVeCLJnSnmtdV
