Track,Artist,track_uri
Miles Away,The Maine,19FXqaqxUJOwJu48mnlzhV
Tell Her You Love Her,Echosmith,1vZSnCXJtFGaCOfCWyXn0z
Throw Shade,CRUISR,3dXjAh7UEuCJnLIeFKNkxd
New Americana,Halsey,6Xs7OKt6i0Ddq8B4M5Dgvr
Rich Youth,Hayley Kiyoko,4eNDVY7Mze5wrfAqLlIZn7
Somewhere Only We Know,Keane,1SKPmfSYaPsETbRHaiA18G
Cool for the Summer,Demi Lovato,73Qlt0XuhuYzEigjitm2ze
Girls Like Girls,Hayley Kiyoko,3dNjUFt6EFU4Gq6Q5vfJqf
Oh Ms Believer,Twenty One Pilots,3FvV3j98xtcylQF1drDc9j
SummerThing!,Afrojack,13uW9hmN28qYQqoPykMB5d
Make Your Mind Up,Moon Taxi,4EAoAeIwUUvevkPLvhwTpx
Toothbrush,DNCE,0CNjoQozZP0mB9rKVdrKGx
War Paint,FLETCHER,46FDaONYM0jiJWTBIQCLUB
Sleeping With A Friend,Neon Trees,0K1KOCeJBj3lpDYxEX9qP2
Bad,The Cab,3igu6bCzkaIrioZIhK3p2n
Weight in Gold,Gallant,1gXBi2I04CLJkTQnhNfEJT
I Luv This Shit,August Alsina,4IeUAegXVbETb7FpgNDnSM
Legend,Drake,1ID1QFSNNxi0hiZCNcwjUC
Hey! We OK,Never Shout Never,5CizcbgQSx02pbaEw4X5hi
Flower,Cody Simpson,526YVuTYcOYJLXeuobJV2H
Dream,Cro,4bm5sh12yDPEJkWbO27pDw
I Will Follow You,RIVVRS,38O355TmeaSAqpDXkE84Iu
Wait for You,Mikkel S. Eriksen,6A3gHbGIWZp2AScLbDuxJI
Own It,Drake,3ptQ2qKjiGOIW1USCFXVtT
Fucked Up,Young Rising Sons,5UpKFCQf34yJ3LtXtBuS5v
IV. sweatpants,Childish Gambino,0uMUvbkTdjBNZ5UuHZ5PIj
Heartbeat,Childish Gambino,3HooZZPp0evFShqaJ2Pwer
West End Kids,New Politics,5IhDbkr7TIy9trIOnW8cv1
Ooh,Jon Bellion,6wmYBQnVQ7IQpgiMYjjNN2
Lightning In A Bottle,The Summer Set,1Vk6binioVDRup8aSqS53T
Lucy (Hurt People Hurt People),Olivver the Kid,7uhfJ11SoxlwREvTV80QA5
Talk Is Cheap,Chet Faker,7jJsme36M90Cn6aYYC2l3t
Let It Go,James Bay,13HVjjWUZFaWilh2QUJKsP
Everything's Gonna Be Alright,Mike Mains,7ikrFGfSscvwV42tZKUl29
We Own The Night,The Wanted,6XS8t28Zl7a9LiZacsRdNK
Change of Seasons,Sweet Thing,0uQM6JGzYEEUgXeJQ3urz7
Make This Leap,The Hunts,0BGM5wPT4L0KNKrf3WsMkn
Please Don't Say You Love Me,Gabrielle Aplin,2PIlBukQ6limukVR8Ubb5o
Love Me,The 1975,5hRzAbY2AAO258hL6oqsqO
Same Old Love,Selena Gomez,6ZANrVuAMp2rpjhfbOuJly
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,5pfJsMwoRYKampPay8amX0
Kamikaze,MØ,6TjP1C3sGQH1jBfzUXfcMg
Seventeen,Alessia Cara,5leOhwmC0JYwAPxo6zGUHP
Circles,machineheart,1QqVXJhaHXpWHrnaEvTzi1
Drunk On Love,Rihanna,5slPHHHP6vsqtY4r977QLR
Back Of The Car (feat. Nate Hendricks),RAC,7kSRKaYIgrWfy9jw4T8Psx
Locked Away,R. City,7x5xYW5W42OGPAdHUyyguy
Safe Place to Land,Christian Burghardt,4WzamSygZIzZek6rIqFSHn
Shark in the Water,The Cocktails,3tWp93Y61r4j6ASXbJVUL9
Whiskey and Wine,Christian Burghardt,601WoCAM7AABEWiYqiLG58
A Brand New Life,Panama Wedding,4BryHK1tKl72QIrwD2j5Wu
Hide Away,Daya,4Z3qm2aWGTJuJKnv3EWwyD
"You Be The Anchor That Keeps My Feet On The Ground, I'll Be The Wings That Keep Your Heart In The Clouds",Mayday Parade,5B7xzzpqgWY6sdiebvEVJA
Tikka,Scott Helman,5LasZN16DWtVHoEPP9wG8U
Hello,Adele,4sPmO7WMQUAf45kwMOtONw
Stolen Dance,Milky Chance,6vECYJHxYmm3Ydt3fF01pE
This One's On Me,Wax,1TQN5gryk99yLBoDF2XWA6
Sorry,Justin Bieber,69bp2EbF7Q2rqc5N3ylezZ
Wild Hearts,R5,6HX0MENe58t632vGrU8et8
Focus,Ariana Grande,4r4V1wYecTxSAAXV11cFPD
Home,Billy Crudup,3JWkxuQyYKzdMr5yBHUnWR
Boston,Augustana,2WZyfujzMweFLnozyUJBkW
All My Friends,Snakehips,6TaqooOXAEcijL6G1AWS2K
Give Me Something,Jarryd James,5KwtMxjFSXoixWutWmxDee
Let’s Go,Matt and Kim,2PlP2rRrgSz8lC7MpH3e4e
Rise Up,Andra Day,0tV8pOpiNsKqUys0ilUcXz
Love Yourself,Justin Bieber,3hB5DgAiMAQ4DzYbsMq1IT
Forever,Chris Brown,3H1LCvO3fVsK2HPguhbml0
Hotel Ceiling,Rixton,2s5B2qJSK8kbFyFRiRq06b
Tired of Talking,LÉON,63MRutmAXJwkxhMhPHoioS
Colors,Halsey,6w4LIVTA1966CdmIo0yG4x
Take It or Leave It,Great Good Fine Ok,1HH9T6jsitwm9Cvs9jUeTf
Infinite High,Panama Wedding,4lLAb7SzLQp0FpSUIqZJdQ
Falling Faster,Andrew Ripp,7DtIdJ2oeqBIeX8muz8ybI
Hold Your Hand,Family Force 5,0J4r8ewoU3CL4462GzZA8d
"Me, Myself & I",G-Eazy,40YcuQysJ0KlGQTeGUosTC
Help (feat. Maejor),blackbear,0IHjY58S1OdnealEbadJQ1
NoLo,Grace Mitchell,5tR4MFnmZKLjY5ccrSPyki
Tumblr Girls,G-Eazy,4Fv6wNYUixnYkj3Dgfrls8
Let's Get Lost,G-Eazy,5DSr1NMci58MEgS20vivSL
Sex,The 1975,67ispalOAo3jnZWYSTTfZk
Stand Up,The Cab,7Eyq6pUq4tMu0jyCONPQua
Goodbye,Who Is Fancy,6K5xY7EabiBLjd2HuBQIak
What Would You Do,Bastille,5faaMYhs6QHvMEtvMrvuAe
Verbatim,blackbear,3CEyM9wliTj7TeuuG84KZU
Mess Is Mine,Vance Joy,7BVwi9cIzSc6tpyxsp47vJ
Can't Sleep,K.Flay,5ZUFFZZ7qaKtgSbYfHom5f
Hustler,blackbear,78mbcQO7K8jlMfJS4zpaiJ
Comfortable,K CAMP,2BqQQXuBOuhaWeUP7okEx0
B*tches N That Coupe,K CAMP,1T4Mjb65AFVDfMnRiJt7mD
Legendary,POWERS,53XV0VrMvBcMBUWv5xSERU
Love And Feeling,Chet Faker,0Dg1RcUS88uvvnldv80kOx
Temporary Love,The Brinks,2U6hcDLZHYRSd9Up0mMe9W
FOOLS,Troye Sivan,0tjfognbowyFM3RHTdxjPK
On My Mind,Ellie Goulding,5a7NdkF09AfD0H607eiOkX
Lay It All On Me (feat. Ed Sheeran),Rudimental,0vbbhcA6okLzvsy6WSTlLg
Cross My Mind,Twin Forks,333dUzW0wi5LxAofgAlm9x
No Interruption,Hoodie Allen,2yJVeT8cP1zstJxRP7Nlv8
PILLOWTALK,ZAYN,0PDUDa38GO8lMxLCRc4lL1
Tighten Up,The Black Keys,2MVwrvjmcdt4MsYYLCYMt8
"Intro, Outro",Ian Wilkey,1Xv5NFCSSSiCCMbE9EW0kq
People Keep Talking,Hoodie Allen,1Mtchd33dJ8KlBLHacz55l
Temple,Parson James,28ydQDIdJSKTJXM3YQph9r
Don't,Bryson Tiller,3pXF1nA74528Edde4of9CC
Spirits,The Strumbellas,2H6dHxAxGq5oQ9EiinNpXT
Our Own House,MisterWives,3QzbEvmnuZIONNv82PylZb
Follow You,Cheat Codes,0qEDwhP24yWtUlBGUjY9ss
Hands To Myself,Selena Gomez,3CJvmtWw2bJsudbAC5uCQk
Never Be Like You,Flume,12REd1n8PeiHHWOh066tpr
Monkey Tree - UK Mix,Mother Mother,6VBvyRHB7xnz0PueH7OcU4
Dangerous Woman,Ariana Grande,2h1IPjP471JJRSShTHRUhi
Jealous (feat. Lexii Alijai),Kehlani,18z6OV5lknJmKnZi7aA1zH
Army,Ellie Goulding,1PzKBUHhyD035EQM9GNMfV
Geniuses & Thieves,Gentle Bones,5ZGUXHFlOIfMivwABfykrB
